index,add_date,rank,title,cm_track_id,artist_names,cm_artist_ids,current_plays,time_on_chart,velocity,primary_artist,secondary_artist,primary_artist ID,secondfary_artist ID,Prim: Jan. 1-Listeners,Prim: Jan. 12-Listeners,collab,peak daily rank,peak daily play count,listener difference,listener diff. %,career status,Prim: Jan. 1-Followers,Prim: Jan 12-Followers,current engagement,early engagement,follower difference,follower diff. %,engagement diff,engagement diff %
47,2021-01-07T00:00:00.000Z,48,Watermelon Sugar,27222889,['Harry Styles'],[558681],362298,394,-3.28571428571429,Harry Styles,,558681,,38114138,38888937,False,48,378920,774799,2.032838837913637,comfortable,11738818,11484078,0.2953044975232931,0.30799117115019103,-254740,-2.1700651632898644,-0.01268667362689796,-4.119167955211073
48,2021-01-07T00:00:00.000Z,49,Tequila Shots,32233319,['Kid Cudi'],[3213],358085,33,-2.71428571428571,Kid Cudi,,3213,,23060329,23586603,False,49,367559,526274,2.2821617159061347,comfortable,4457070,4411155,0.18701951272932352,0.1932786821905273,-45915,-1.0301610699405663,-0.0062591694612037785,-3.23841687570785
49,2021-01-07T00:00:00.000Z,50,Afterglow,32367859,['Ed Sheeran'],[3648],355067,21,-0.285714285714286,Ed Sheeran,,3648,,53947470,58405811,False,50,355067,4458341,8.264226292725127,superstar,74512339,73992155,1.2668628982825014,1.381201731981129,-520184,-0.6981179318501866,-0.11433883369862752,-8.278213895274039
50,2021-01-07T00:00:00.000Z,51,Sunflower - Spider-Man: Into the Spider-Verse,21815071,"['Post Malone', 'Swae Lee']","[135326, 426751]",354077,482,-1.14285714285714,Post Malone,Swae Lee,135326,426751.0,41429625,41985593,True,51,374007,555968,1.341957596768013,superstar,30435655,30228340,0.7199693475807285,0.7346350588497965,-207315,-0.6811583322258056,-0.014665711269068016,-1.9963260795135245
51,2021-01-07T00:00:00.000Z,52,Someone You Loved,21918634,['Lewis Capaldi'],[550208],349930,604,1.28571428571429,Lewis Capaldi,,550208,,29667604,29775254,False,52,361449,107650,0.36285370399308287,comfortable,6434141,6295365,0.2114294306271913,0.21687430505004718,-138776,-2.1568691143075664,-0.005444874422855878,-2.5106129661600005
52,2021-01-07T00:00:00.000Z,53,On Me,32158735,['Lil Baby'],[731530],347500,39,0.571428571428571,Lil Baby,,731530,,19924968,19423791,False,45,446651,-501177,-2.5153214800646104,comfortable,5897220,5803940,0.29880572747101736,0.2959713661773509,-93280,-1.5817622540790406,0.002834361293666432,0.957647129948387
53,2021-01-07T00:00:00.000Z,54,Bang!,28457034,['AJR'],[3724],343802,124,1.57142857142857,AJR,,3724,,8094689,9122282,False,54,407214,1027593,12.694656953466648,indie,1573100,1540018,0.1688193809399885,0.19433729943176323,-33082,-2.102981374356366,-0.025517918491774733,-13.13073638791339
54,2021-01-07T00:00:00.000Z,55,Dynamite,31077815,['BTS'],[206557],342940,53,-0.571428571428571,BTS,,206557,,31284870,31182809,False,55,359797,-102061,-0.32623117820211495,comfortable,27329724,26843510,0.8608432293575604,0.8735763965137141,-486214,-1.7790666308960894,-0.01273316715615369,-1.4575905675759402
55,2021-01-07T00:00:00.000Z,56,Runnin,31530139,"['21 Savage', 'Metro Boomin']","[5730, 50780]",339528,101,0.0,21 Savage,Metro Boomin,5730,50780.0,18450741,18515272,True,56,359002,64531,0.34974747084683483,comfortable,8978856,8919607,0.4817432333697285,0.4866393170875901,-59249,-0.6598724826414412,-0.004896083717861599,-1.0061011401962727
56,2021-01-07T00:00:00.000Z,57,Daddy Issues,15796704,['The Neighbourhood'],[4298],338340,117,2.42857142857143,The Neighbourhood,,4298,,15633712,16710777,False,57,359758,1077065,6.889374705124412,comfortable,5171443,5080547,0.30402817295688883,0.3307879152436734,-90896,-1.7576525546158006,-0.02675974228678457,-8.089697674436543
